t       V_out
0.00    0.00
0.10    0.08
0.20    0.16
0.30    0.24
0.40    0.32
0.50    0.40
0.60    0.40
0.70    0.40
0.80    0.40
0.90    0.40
1.00    0.40
1.10    0.40
1.20    0.40
1.30    0.40
1.40    0.40
1.50    0.40
1.60    0.40
1.70    0.40
1.80    0.40
1.90    0.40
2.00    0.40
2.10    0.50
2.20    0.60
2.30    0.70
2.40    0.80
2.50    0.90
2.60    1.00
2.70    1.00
2.80    1.00
2.90    1.00
3.00    1.00
3.10    1.00
3.20    1.00
3.30    1.00
3.40    1.00
3.50    1.00
3.60    1.00
3.70    1.00
3.80    1.00
3.90    1.00
4.00    1.00
4.10    1.00
4.20    1.00
4.30    1.00
4.40    1.00
4.50    1.00
4.60    1.00
4.70    1.00
4.80    1.00
4.90    1.00
5.00    1.00
